Entry,Temperature (°C),Pressure (bar),pH Level,Brine Concentration (g/L),Flow Rate (L/min),Energy Input (kWh),Water Recovery (%),Evaporation Rate (L/h),Residence Time (min),Amount Extracted (mg)
1,25,1.0,7.5,10,0.5,1.2,85,0.2,20,7
2,30,1.2,7.2,12,0.4,1.5,80,0.3,18,9
3,35,1.5,6.8,15,0.6,1.8,75,0.4,15,11
4,20,0.8,7.8,9,0.7,1.0,90,0.1,25,6
5,28,1.1,7.4,11,0.5,1.3,85,0.25,22,8
6,32,1.3,7.0,14,0.6,1.7,78,0.35,17,10
7,27,1.0,7.6,10,0.5,1.4,83,0.2,20,7
8,33,1.4,6.9,16,0.4,1.9,76,0.3,16,12
9,22,0.9,7.7,9,0.7,1.1,88,0.15,23,6
10,29,1.2,7.3,12,0.5,1.6,82,0.25,21,9
